_id,Product Name,Price,Rating,URL,Availability,Category
B00k2scrape-1,A Light in the Attic,£51.77,Three,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,In stock,a light in the attic_1000
B00k2scrape-2,Tipping the Velvet,£53.74,One,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,In stock,tipping the velvet_999
B00k2scrape-3,Soumission,£50.10,One,http://books.toscrape.com/catalogue/soumission_998/index.html,In stock,soumission_998
B00k2scrape-4,Sharp Objects,£47.82,Four,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,In stock,sharp objects_997
B00k2scrape-5,Sapiens: A Brief History of Humankind,£54.23,Five,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,In stock,sapiens a brief history of humankind_996
B00k2scrape-6,The Requiem Red,£22.65,One,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,In stock,the requiem red_995
B00k2scrape-7,The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,In stock,the dirty little secrets of getting your dream job_994
B00k2scrape-8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,In stock,the coming woman a novel based on the life of the infamous feminist victoria woodhull_993
B00k2scrape-9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,In stock,the boys in the boat nine americans and their epic quest for gold at the 1936 berlin olympics_992
B00k2scrape-11,The Black Maria,£52.15,One,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,In stock,the black maria_991
B00k2scrape-12,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,In stock,starving hearts triangular trade trilogy 1_990
B00k2scrape-10,Shakespeare's Sonnets,£20.66,Four,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,In stock,shakespeares sonnets_989
B00k2scrape-13,Set Me Free,£17.46,Five,http://books.toscrape.com/catalogue/set-me-free_988/index.html,In stock,set me free_988
B00k2scrape-14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,In stock,scott pilgrims precious little life scott pilgrim 1_987
B00k2scrape-15,Rip it Up and Start Again,£35.02,Five,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,In stock,rip it up and start again_986
B00k2scrape-16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,In stock,our band could be your life scenes from the american indie underground 1981 1991_985
B00k2scrape-17,Olio,£23.88,One,http://books.toscrape.com/catalogue/olio_984/index.html,In stock,olio_984
B00k2scrape-18,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,In stock,mesaerion the best science fiction stories 1800 1849_983
B00k2scrape-19,Libertarianism for Beginners,£51.33,Two,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,In stock,libertarianism for beginners_982
